EXCH_ID	SEGMENT	SECURITY_ID	ISIN	INSTRUMENT	UNDERLYING_SECURITY_ID	UNDERLYING_SYMBOL	SYMBOL_NAME	DISPLAY_NAME	INSTRUMENT_TYPE	SERIES	LOT_SIZE	SM_EXPIRY_DATE	STRIKE_PRICE	OPTION_TYPE	TICK_SIZE	EXPIRY_FLAG	BRACKET_FLAG	COVER_FLAG	ASM_GSM_FLAG	ASM_GSM_CATEGORY	BUY_SELL_INDICATOR	BUY_CO_MIN_MARGIN_PER	SELL_CO_MIN_MARGIN_PER	BUY_CO_SL_RANGE_MAX_PERC	SELL_CO_SL_RANGE_MAX_PERC	BUY_CO_SL_RANGE_MIN_PERC	SELL_CO_SL_RANGE_MIN_PERC	BUY_BO_MIN_MARGIN_PER	SELL_BO_MIN_MARGIN_PER	BUY_BO_SL_RANGE_MAX_PERC	SELL_BO_SL_RANGE_MAX_PERC	BUY_BO_SL_RANGE_MIN_PERC	SELL_BO_SL_MIN_RANGE	BUY_BO_PROFIT_RANGE_MAX_PERC	SELL_BO_PROFIT_RANGE_MAX_PERC	BUY_BO_PROFIT_RANGE_MIN_PERC	SELL_BO_PROFIT_RANGE_MIN_PERC	MTF_LEVERAGE
NSE	D	67734	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66000-CE	BANKNIFTY 28 AUG 66000 CALL	OP	NA	35	8/28/2025	66000	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67735	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66000-PE	BANKNIFTY 28 AUG 66000 PUT	OP	NA	35	8/28/2025	66000	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67736	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66100-CE	BANKNIFTY 28 AUG 66100 CALL	OP	NA	35	8/28/2025	66100	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67737	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66100-PE	BANKNIFTY 28 AUG 66100 PUT	OP	NA	35	8/28/2025	66100	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67738	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66200-CE	BANKNIFTY 28 AUG 66200 CALL	OP	NA	35	8/28/2025	66200	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67739	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66200-PE	BANKNIFTY 28 AUG 66200 PUT	OP	NA	35	8/28/2025	66200	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67740	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66300-CE	BANKNIFTY 28 AUG 66300 CALL	OP	NA	35	8/28/2025	66300	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67741	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66300-PE	BANKNIFTY 28 AUG 66300 PUT	OP	NA	35	8/28/2025	66300	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67742	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66400-CE	BANKNIFTY 28 AUG 66400 CALL	OP	NA	35	8/28/2025	66400	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67743	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66400-PE	BANKNIFTY 28 AUG 66400 PUT	OP	NA	35	8/28/2025	66400	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67744	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66500-CE	BANKNIFTY 28 AUG 66500 CALL	OP	NA	35	8/28/2025	66500	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67745	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66500-PE	BANKNIFTY 28 AUG 66500 PUT	OP	NA	35	8/28/2025	66500	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67746	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66600-CE	BANKNIFTY 28 AUG 66600 CALL	OP	NA	35	8/28/2025	66600	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67747	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66600-PE	BANKNIFTY 28 AUG 66600 PUT	OP	NA	35	8/28/2025	66600	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67748	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66700-CE	BANKNIFTY 28 AUG 66700 CALL	OP	NA	35	8/28/2025	66700	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67749	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66700-PE	BANKNIFTY 28 AUG 66700 PUT	OP	NA	35	8/28/2025	66700	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67750	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66800-CE	BANKNIFTY 28 AUG 66800 CALL	OP	NA	35	8/28/2025	66800	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67751	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66800-PE	BANKNIFTY 28 AUG 66800 PUT	OP	NA	35	8/28/2025	66800	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67760	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66900-CE	BANKNIFTY 28 AUG 66900 CALL	OP	NA	35	8/28/2025	66900	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	67800	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-66900-PE	BANKNIFTY 28 AUG 66900 PUT	OP	NA	35	8/28/2025	66900	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
